id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,revenue_cagr_5yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,composite_quality_score,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,free_cash_flow,fcf_conversion_rate,capex_intensity,capex_category,capital_allocation,cfo_quality,distress_alert
913,PFC,2020,-42148.0,-73.0,43399.0,1179.0,62189,7332,14012.0,23.0,105,40845,24,14093,33.0,9477,22.0,35.0,2640.0,46760.0,596561.0,48560.0,694521.0,238.0,288.0,4404.0,689590.0,694521.0,15.24,23.0,19.18,12.0761,0.3456,0.0895,-42221.0,73.0,22.0,1.8712,35.0,596561.0,-42148.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PFC.png,Power Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3APFC,Power Finance Corporation Ltd. is an Indian public sector company engaged in infrastructure finance activities.,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10.0,333.0,9.96,19.49,Financials,Speciality Finance,2.15,Large Cap,-42221.0,-301.32,0.12,Asset Light,Growth Funded by Debt,Accrual Risk,Distress
914,PFC,2021,-59143.0,1741.0,60424.0,3023.0,71656,7102,19871.0,28.0,46,44684,25,19891,21.0,15716,36.0,22.0,2640.0,58127.0,659682.0,55257.0,775707.0,341.0,336.0,3499.0,771530.0,775707.0,21.93,28.0,25.86,10.8559,0.4457,0.0924,-57402.0,1741.0,36.0,2.3018,22.0,659682.0,-59143.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PFC.png,Power Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3APFC,Power Finance Corporation Ltd. is an Indian public sector company engaged in infrastructure finance activities.,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10.0,333.0,9.96,19.49,Financials,Speciality Finance,2.15,Large Cap,-57402.0,-288.87,2.43,Asset Light,Distress Signal,Accrual Risk,Distress
915,PFC,2022,4904.0,-547.0,-8371.0,-4014.0,76262,8215,23338.0,31.0,79,44709,35,23382,20.0,18768,42.0,23.0,2640.0,69036.0,660476.0,58848.0,791000.0,719.0,53.0,3774.0,786454.0,791000.0,24.61,31.0,26.18,9.2147,0.5238,0.0964,4357.0,547.0,42.0,2.715,23.0,660476.0,4904.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PFC.png,Power Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3APFC,Power Finance Corporation Ltd. is an Indian public sector company engaged in infrastructure finance activities.,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10.0,333.0,9.96,19.49,Financials,Speciality Finance,2.15,Large Cap,4357.0,18.67,0.72,Asset Light,Reinvestor,Accrual Risk,Watchlist
916,PFC,2023,-74717.0,-1694.0,75537.0,-874.0,77684,4167,26501.0,34.0,47,47017,52,26496,20.0,21179,48.0,22.0,2640.0,81518.0,751158.0,60796.0,896112.0,782.0,22.0,5973.0,889334.0,896112.0,27.26,34.0,25.17,8.9256,0.5646,0.0867,-76411.0,1694.0,48.0,3.1878,22.0,751158.0,-74717.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PFC.png,Power Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3APFC,Power Finance Corporation Ltd. is an Indian public sector company engaged in infrastructure finance activities.,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10.0,333.0,9.96,19.49,Financials,Speciality Finance,2.15,Large Cap,-76411.0,-288.33,2.18,Asset Light,Growth Funded by Debt,Accrual Risk,Distress
917,PFC,2024,-97820.0,-3409.0,101261.0,32.0,91508,-27,33573.0,37.0,69,57962,53,33588,21.0,26461,60.0,23.0,3300.0,97847.0,861961.0,75770.0,1038877.0,764.0,39.0,10971.0,1027102.0,1038877.0,28.92,37.0,26.16,8.5219,0.5804,0.0881,-101229.0,3409.0,60.0,3.0651,23.0,861961.0,-97820.0,11.08,,15.92,,14.87,,21.0,https://mkt.in/static/mkt-icons/nifty100/PFC.png,Power Finance Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3APFC,Power Finance Corporation Ltd. is an Indian public sector company engaged in infrastructure finance activities.,https://www.pfcindia.com/,https://www.nseindia.com/get-quotes/equity?symbol=PFC,https://www.bseindia.com/stock-share-price/power-finance-corporation-ltd/pfc/532810/,10.0,333.0,9.96,19.49,Financials,Speciality Finance,2.15,Large Cap,-101229.0,-301.52,3.73,Moderate,Growth Funded by Debt,Accrual Risk,Distress
930,PNB,2013,-692.0,-600.0,-694.0,-1987.0,43071,12456,,,4310,27802,336,6786,27.0,5020,28.0,19.0,50.0,568.0,6695.0,342.0,7655.0,14.0,4.0,777.0,6860.0,7655.0,11.66,,812.3,10.8333,,5.6265,-1292.0,600.0,28.0,1.236,19.0,6695.0,-692.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PNB.png,Punjab National Bank,https://in.tradingview.com/chart/?symbol=NSE%3APNB,"Punjab National Bank is an Indian government bank based in New Delhi. It was founded in May 1894 and is the second-largest public sector bank in India in terms of its business volumes, with over 180 million customers, 12,248 branches, and 13,000+ ATMs. ",https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2.0,110.0,1.63,8.7,Financials,Public Sector Banks,3.82,Large Cap,-1292.0,,1.39,Asset Light,Pre-Revenue,High Quality,Watchlist
935,PNB,2018,-1742.0,392.0,7460.0,6109.0,48725,43345,,,8883,33530,581,-19849,-37.0,-12111,-44.0,0.0,167.0,6402.0,53777.0,2673.0,63018.0,255.0,10.0,2413.0,60340.0,63018.0,-24.86,,-184.37,8.1865,,0.7732,-1350.0,392.0,-44.0,3.9335,0.0,53777.0,-1742.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PNB.png,Punjab National Bank,https://in.tradingview.com/chart/?symbol=NSE%3APNB,"Punjab National Bank is an Indian government bank based in New Delhi. It was founded in May 1894 and is the second-largest public sector bank in India in terms of its business volumes, with over 180 million customers, 12,248 branches, and 13,000+ ATMs. ",https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2.0,110.0,1.63,8.7,Financials,Public Sector Banks,3.82,Large Cap,-1350.0,,0.8,Asset Light,Distress Signal,High Quality,Watchlist
936,PNB,2019,-33532.0,-629.0,13969.0,-20192.0,52147,39645,,,7367,34656,584,-15370,-35.0,-9550,-21.0,0.0,167.0,7268.0,71859.0,4456.0,83750.0,102.0,5.0,4457.0,79185.0,83750.0,-18.31,,-128.45,9.665,,0.6227,-34161.0,629.0,-21.0,4.4521,0.0,71859.0,-33532.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PNB.png,Punjab National Bank,https://in.tradingview.com/chart/?symbol=NSE%3APNB,"Punjab National Bank is an Indian government bank based in New Delhi. It was founded in May 1894 and is the second-largest public sector bank in India in terms of its business volumes, with over 180 million customers, 12,248 branches, and 13,000+ ATMs. ",https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2.0,110.0,1.63,8.7,Financials,Public Sector Banks,3.82,Large Cap,-34161.0,,1.21,Asset Light,Growth Funded by Debt,High Quality,Watchlist
937,PNB,2020,-12793.0,-338.0,13591.0,460.0,54918,25867,,,9388,36997,614,827,56.0,485,1.0,0.0,168.0,7779.0,67736.0,3191.0,78874.0,250.0,4.0,2048.0,76572.0,78874.0,0.88,,6.1,8.5235,,0.6963,-13131.0,338.0,1.0,4.7304,0.0,67736.0,-12793.0,,,,,,,,https://mkt.in/static/mkt-icons/nifty100/PNB.png,Punjab National Bank,https://in.tradingview.com/chart/?symbol=NSE%3APNB,"Punjab National Bank is an Indian government bank based in New Delhi. It was founded in May 1894 and is the second-largest public sector bank in India in terms of its business volumes, with over 180 million customers, 12,248 branches, and 13,000+ ATMs. ",https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2.0,110.0,1.63,8.7,Financials,Public Sector Banks,3.82,Large Cap,-13131.0,,0.62,Asset Light,Growth Funded by Debt,High Quality,Watchlist
941,PNB,2024,-27939.0,-1506.0,3518.0,-25928.0,109065,39623,,,14158,68534,906,14160,35.0,9157,8.0,18.0,260.0,14673.0,55017.0,2422.0,72371.0,206.0,15.0,4345.0,67804.0,72371.0,8.4,,61.31999999999999,3.6843,,1.507,-29445.0,1506.0,8.0,5.7435,18.0,55017.0,-27939.0,15.9,,,TURNAROUND,,TURNAROUND,8.0,https://mkt.in/static/mkt-icons/nifty100/PNB.png,Punjab National Bank,https://in.tradingview.com/chart/?symbol=NSE%3APNB,"Punjab National Bank is an Indian government bank based in New Delhi. It was founded in May 1894 and is the second-largest public sector bank in India in terms of its business volumes, with over 180 million customers, 12,248 branches, and 13,000+ ATMs. ",https://www.pnbindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=PNB,https://www.bseindia.com/stock-share-price/punjab-national-bank/pnb/532461/,2.0,110.0,1.63,8.7,Financials,Public Sector Banks,3.82,Large Cap,-29445.0,,1.38,Asset Light,Growth Funded by Debt,High Quality,Watchlist
