cluster_id,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,fcf_cagr_5yr,operating_profit_margin_pct
0,7.6,1.14,9.33,126.24,40.0
1,84.73,0.79,12.61,30.0,42.57
2,19.06,0.56,11.39,8.13,30.54
3,17.63,6.61,20.46,-1.54,85.91
4,14.16,7.51,18.62,-12.38,-82.5
